Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
Perfect Moisturizer,Huda Beauty,Foundation,Monthly,14.83,3.6,2831,50ml,Dry,Female,Stick,Hyaluronic Acid,FALSE,Italy
Super Cleanser,Becca,Eye Shadow,Weekly,139.22,3.5,8580,150ml,Dry,Male,Jar,Vitamin C,TRUE,South Korea
Ultra Primer,IT Cosmetics,Eye Shadow,Daily,96.78,1.8,6338,100ml,Dry,Male,Bottle,Salicylic Acid,FALSE,Italy
Magic Blush,Pat McGrath Labs,Setting Spray,Weekly,80.95,4.2,9533,150ml,Combination,Unisex,Spray,Retinol,TRUE,Australia
Ultra Mascara,Juvia’s Place,Powder,Weekly,73.16,3,1840,100ml,Oily,Female,Stick,Vitamin C,FALSE,South Korea
Divine Contour,Patrick Ta,Highlighter,Daily,23.93,2.5,2855,100ml,Combination,Female,Spray,Aloe Vera,TRUE,USA
Super Primer,Yves Saint Laurent,Lip Gloss,Daily,140.09,3.7,1418,150ml,Oily,Female,Compact,Retinol,TRUE,Australia
Magic Blush,Farsali,Mascara,Daily,120.72,2.6,9027,50ml,Normal,Male,Jar,Aloe Vera,FALSE,Japan
Ultra Face Mask,KVD Beauty,Face Oil,Weekly,76.2,4.5,5291,100ml,Oily,Unisex,Jar,Aloe Vera,TRUE,France
Ultra Makeup Remover,Glossier,Eyeliner,Daily,103.95,3.4,7355,100ml,Sensitive,Female,Compact,Vitamin C,TRUE,UK
Divine Serum,Patrick Ta,Powder,Occasional,134.74,1.1,6700,30ml,Dry,Unisex,Jar,Hyaluronic Acid,FALSE,Australia
Super Lip Gloss,Make Up For Ever,BB Cream,Occasional,36.54,3.5,3958,250ml,Combination,Male,Jar,Aloe Vera,TRUE,Italy
Divine Moisturizer,Danessa Myricks,Foundation,Monthly,12.24,2.6,7870,250ml,Sensitive,Unisex,Jar,Hyaluronic Acid,TRUE,Germany
Perfect Concealer,Farsali,CC Cream,Daily,133.89,2.2,5023,30ml,Normal,Unisex,Jar,Retinol,FALSE,Italy
Magic Face Mask,Patrick Ta,Eyeliner,Occasional,71.44,3.9,5316,150ml,Sensitive,Female,Spray,Hyaluronic Acid,FALSE,South Korea
Magic Face Mask,Bite Beauty,Eyeliner,Occasional,96.29,3.6,2059,250ml,Combination,Male,Spray,Glycerin,TRUE,France
Ultra Bronzer,Ilia Beauty,Serum,Monthly,28.05,5,4094,100ml,Combination,Male,Tube,Hyaluronic Acid,TRUE,South Korea
Divine Face Oil,Urban Decay,Lip Gloss,Monthly,68.57,3.4,3896,250ml,Sensitive,Male,Jar,Shea Butter,FALSE,South Korea
Divine Primer,Tarte,Concealer,Daily,144.6,2.1,114,200ml,Sensitive,Female,Jar,Aloe Vera,FALSE,Japan
Magic Face Mask,Make Up For Ever,Eye Shadow,Weekly,145.06,3.9,8237,200ml,Combination,Unisex,Compact,Hyaluronic Acid,FALSE,UK
Perfect Eye Shadow,Hourglass,BB Cream,Weekly,29.47,1.8,6841,30ml,Dry,Unisex,Spray,Vitamin C,FALSE,Japan
Divine Face Mask,Drunk Elephant,Eye Shadow,Monthly,99.03,4,3641,150ml,Dry,Male,Tube,Salicylic Acid,TRUE,Germany
Divine Exfoliator,Drunk Elephant,Bronzer,Occasional,133.27,2.4,6058,200ml,Sensitive,Male,Tube,Aloe Vera,FALSE,Germany
Perfect Highlighter,Natasha Denona,CC Cream,Monthly,87.82,3.9,3154,200ml,Sensitive,Unisex,Stick,Salicylic Acid,TRUE,UK
Super Face Mask,RMS Beauty,Mascara,Daily,142.81,3.1,669,250ml,Oily,Male,Bottle,Glycerin,TRUE,USA
Perfect Powder,Patrick Ta,Powder,Weekly,91.46,3.6,3547,30ml,Oily,Female,Stick,Retinol,TRUE,Japan
Ultra Contour,Farsali,Lip Liner,Occasional,76.07,3.5,8209,30ml,Combination,Female,Jar,Shea Butter,FALSE,UK
Magic Highlighter,Morphe,Foundation,Monthly,94.77,4.1,7622,30ml,Normal,Male,Tube,Shea Butter,TRUE,USA
Magic CC Cream,Sisley,Face Oil,Weekly,58.62,3.1,3513,50ml,Dry,Female,Compact,Glycerin,FALSE,Italy
Perfect Powder,IT Cosmetics,Moisturizer,Occasional,40.79,3.6,2309,50ml,Oily,Female,Spray,Retinol,TRUE,Japan
Divine Exfoliator,Shiseido,Moisturizer,Occasional,148.52,4.8,2770,30ml,Sensitive,Male,Jar,Salicylic Acid,FALSE,UK
Perfect Eyeliner,Danessa Myricks,Mascara,Daily,95.58,3.4,3210,100ml,Oily,Female,Spray,Aloe Vera,TRUE,Australia
Perfect Powder,Rare Beauty,Concealer,Daily,72.02,3.2,7904,250ml,Sensitive,Female,Bottle,Vitamin C,FALSE,USA
Divine Blush,Yves Saint Laurent,BB Cream,Monthly,77.03,2.9,1123,100ml,Oily,Female,Spray,Glycerin,FALSE,Germany
Super Lipstick,Drunk Elephant,Face Mask,Monthly,22.61,2.4,6893,50ml,Combination,Female,Tube,Shea Butter,FALSE,Italy
Divine Serum,Glossier,Exfoliator,Occasional,109.66,4.9,544,200ml,Sensitive,Male,Compact,Aloe Vera,TRUE,UK
Super Eyeliner,Kiehl’s,Makeup Remover,Weekly,77.02,1.3,294,200ml,Oily,Female,Stick,Shea Butter,TRUE,USA
Perfect Serum,Rare Beauty,Concealer,Monthly,23.89,2.8,4018,100ml,Combination,Female,Tube,Glycerin,FALSE,UK
Divine Powder,Laura Mercier,Primer,Weekly,78.59,4.8,995,200ml,Sensitive,Female,Bottle,Salicylic Acid,FALSE,Italy
Divine Eyeliner,Perricone MD,BB Cream,Monthly,32.05,3.4,7980,30ml,Normal,Male,Jar,Aloe Vera,FALSE,Australia
Magic Face Mask,Hourglass,Blush,Occasional,138.62,4.4,4565,30ml,Normal,Unisex,Spray,Shea Butter,TRUE,Japan
Magic Concealer,Sisley,Primer,Weekly,53.15,2.9,2866,100ml,Combination,Female,Bottle,Salicylic Acid,TRUE,USA
Magic Primer,Fenty Beauty,Makeup Remover,Occasional,47.13,1.6,5183,100ml,Sensitive,Male,Spray,Vitamin C,FALSE,South Korea
Magic Primer,RMS Beauty,Makeup Remover,Daily,83.71,1.6,4739,150ml,Sensitive,Female,Stick,Vitamin C,FALSE,South Korea
Magic Exfoliator,Tarte,Face Mask,Occasional,80.99,1.6,1326,150ml,Oily,Female,Compact,Vitamin C,TRUE,Germany
Perfect Powder,Yves Saint Laurent,Foundation,Daily,99.55,2.5,5389,100ml,Dry,Female,Tube,Retinol,FALSE,South Korea
Super Face Mask,IT Cosmetics,BB Cream,Daily,32.65,3.3,8633,150ml,Dry,Male,Spray,Shea Butter,FALSE,UK
Perfect Contour,Laura Mercier,Serum,Occasional,53.74,3.8,2311,150ml,Normal,Unisex,Stick,Vitamin C,TRUE,Australia
Perfect Lip Gloss,Becca,Mascara,Monthly,52.12,2.2,5218,250ml,Combination,Unisex,Spray,Retinol,FALSE,UK
Super Highlighter,Too Faced,BB Cream,Weekly,23.42,3,7249,50ml,Dry,Female,Stick,Glycerin,FALSE,UK
Divine Eye Shadow,Clinique,Contour,Monthly,34.91,1.1,6724,100ml,Dry,Unisex,Jar,Aloe Vera,FALSE,USA
Divine Eye Shadow,Bobby Brown,Serum,Occasional,82.74,4.9,5728,250ml,Normal,Male,Jar,Glycerin,TRUE,Japan
Super Lip Liner,Ilia Beauty,Mascara,Monthly,23.18,2.1,8513,250ml,Combination,Male,Bottle,Retinol,TRUE,Germany
Perfect Face Mask,Glossier,Lip Liner,Monthly,118.9,4.3,5517,200ml,Oily,Unisex,Compact,Hyaluronic Acid,FALSE,France
Super Moisturizer,Juvia’s Place,Setting Spray,Occasional,132.91,2.2,1661,30ml,Dry,Female,Compact,Glycerin,FALSE,France
Divine Face Mask,ColourPop,Makeup Remover,Occasional,38.76,4,6157,150ml,Dry,Male,Stick,Aloe Vera,TRUE,Japan
Perfect CC Cream,Too Faced,Highlighter,Monthly,105.55,1.6,8498,50ml,Sensitive,Unisex,Tube,Retinol,FALSE,South Korea
Super Bronzer,Bite Beauty,Eye Shadow,Occasional,81.96,3.9,2450,200ml,Dry,Female,Stick,Salicylic Acid,TRUE,South Korea
Perfect Moisturizer,NARS,Cleanser,Daily,108.75,2.4,9948,250ml,Dry,Male,Spray,Shea Butter,TRUE,South Korea
Magic Lip Liner,Anastasia Beverly Hills,CC Cream,Daily,112.17,1.9,9969,30ml,Normal,Unisex,Spray,Retinol,FALSE,Australia
Magic Lip Gloss,Huda Beauty,Serum,Weekly,55.27,3.3,6488,30ml,Sensitive,Female,Tube,Shea Butter,FALSE,Japan
Divine Face Mask,RMS Beauty,Eyeliner,Monthly,76.56,1.2,3780,200ml,Oily,Female,Tube,Salicylic Acid,FALSE,Germany
Super Highlighter,Glossier,Lip Liner,Daily,53.36,2.4,8981,100ml,Combination,Male,Jar,Retinol,TRUE,Italy
Perfect Foundation,Ilia Beauty,Concealer,Daily,29.81,4.7,610,250ml,Oily,Unisex,Stick,Glycerin,TRUE,USA
Ultra Serum,Natasha Denona,Serum,Weekly,89.3,3.4,2035,100ml,Sensitive,Male,Bottle,Glycerin,FALSE,Italy
Ultra Lipstick,Milk Makeup,Bronzer,Monthly,19.19,2.7,8102,200ml,Combination,Female,Tube,Hyaluronic Acid,TRUE,Australia
Ultra Eye Shadow,Glossier,Bronzer,Monthly,10.99,1.4,7530,50ml,Combination,Male,Compact,Shea Butter,TRUE,France
Divine Makeup Remover,Tarte,Eye Shadow,Daily,44.82,3.6,9368,100ml,Normal,Unisex,Bottle,Aloe Vera,TRUE,France
Ultra Foundation,ColourPop,Face Mask,Daily,119.2,4.7,448,50ml,Dry,Male,Stick,Salicylic Acid,TRUE,France
Perfect Highlighter,Bourjois,Lipstick,Daily,118.98,2.2,3101,30ml,Sensitive,Male,Compact,Shea Butter,TRUE,France
Ultra Concealer,ColourPop,Serum,Monthly,39.31,4,4562,250ml,Oily,Female,Bottle,Vitamin C,TRUE,Australia
Magic Cleanser,Hourglass,Bronzer,Weekly,39.28,4.3,361,50ml,Oily,Unisex,Stick,Retinol,TRUE,South Korea
Magic Eye Shadow,Kiehl’s,Concealer,Weekly,13.42,1.4,4355,30ml,Combination,Unisex,Stick,Retinol,FALSE,UK
Divine Cleanser,Danessa Myricks,Eyeliner,Daily,143.85,2.8,2279,50ml,Oily,Unisex,Tube,Glycerin,TRUE,France
Magic Makeup Remover,RMS Beauty,Concealer,Daily,144,2.4,1361,250ml,Combination,Unisex,Tube,Aloe Vera,FALSE,France
Super Serum,Fenty Beauty,Eye Shadow,Daily,73.73,2,6420,200ml,Oily,Unisex,Spray,Glycerin,FALSE,USA
Perfect Eye Shadow,KVD Beauty,Lip Liner,Monthly,139.51,3,4208,200ml,Normal,Unisex,Compact,Glycerin,FALSE,South Korea
Perfect Serum,Sisley,Face Mask,Daily,57.84,4.4,6314,30ml,Normal,Female,Jar,Salicylic Acid,FALSE,Italy
Super Face Oil,Sisley,Blush,Occasional,115.95,1.8,1913,30ml,Normal,Female,Compact,Aloe Vera,FALSE,France
Magic Setting Spray,ColourPop,Serum,Daily,54.67,4.7,6177,200ml,Combination,Unisex,Tube,Shea Butter,TRUE,UK
Perfect BB Cream,RMS Beauty,Foundation,Weekly,11.16,1.7,7255,150ml,Combination,Male,Tube,Hyaluronic Acid,TRUE,South Korea
Super Lipstick,Charlotte Tilbury,Exfoliator,Weekly,83.83,2.5,4536,100ml,Sensitive,Unisex,Spray,Retinol,FALSE,Japan
Magic Contour,Morphe,Eyeliner,Monthly,135.63,3.3,4929,200ml,Normal,Male,Bottle,Glycerin,FALSE,Australia
Ultra Face Oil,KVD Beauty,Exfoliator,Monthly,120.05,1.5,2385,30ml,Combination,Unisex,Bottle,Aloe Vera,FALSE,Japan
Super Exfoliator,Milk Makeup,Powder,Monthly,29.58,4.9,5080,50ml,Combination,Female,Bottle,Salicylic Acid,TRUE,Italy
Perfect Makeup Remover,Perricone MD,Eye Shadow,Weekly,109.08,2.3,4106,250ml,Dry,Male,Jar,Retinol,TRUE,Italy
Ultra Contour,Glossier,Moisturizer,Monthly,96.79,1.7,1467,200ml,Sensitive,Male,Tube,Shea Butter,TRUE,UK
Ultra Contour,Morphe,Blush,Daily,40.94,2.1,5447,50ml,Oily,Unisex,Bottle,Salicylic Acid,FALSE,Germany
Magic BB Cream,Tarte,Mascara,Monthly,124.13,3.6,7436,250ml,Combination,Male,Stick,Shea Butter,FALSE,France
Ultra Lip Gloss,RMS Beauty,Moisturizer,Daily,38.71,1.6,6872,50ml,Normal,Male,Compact,Hyaluronic Acid,FALSE,UK
Perfect Eye Shadow,Make Up For Ever,BB Cream,Daily,120.73,3.2,6460,100ml,Combination,Female,Bottle,Glycerin,TRUE,Italy
Super Primer,Fenty Beauty,Lipstick,Monthly,47.72,2.3,2923,250ml,Oily,Male,Spray,Retinol,FALSE,Germany
Magic Lip Liner,Pat McGrath Labs,Contour,Monthly,48.7,3.6,3495,100ml,Oily,Male,Compact,Aloe Vera,FALSE,USA
Divine Bronzer,Clinique,Bronzer,Monthly,32.01,1.7,3610,250ml,Combination,Female,Tube,Glycerin,FALSE,USA
Magic Contour,RMS Beauty,Eye Shadow,Weekly,97.14,4.2,806,100ml,Normal,Unisex,Jar,Salicylic Acid,FALSE,UK
Ultra Lipstick,Becca,Face Mask,Monthly,73.9,2,6344,50ml,Dry,Unisex,Tube,Glycerin,FALSE,USA
Perfect Makeup Remover,ColourPop,Mascara,Occasional,89.07,1.2,2621,30ml,Sensitive,Unisex,Compact,Glycerin,FALSE,Italy
Divine Lip Gloss,Yves Saint Laurent,Mascara,Monthly,21.85,2.6,6279,30ml,Dry,Unisex,Jar,Vitamin C,FALSE,Japan
Perfect Blush,Anastasia Beverly Hills,Bronzer,Weekly,89.41,1.9,5880,100ml,Sensitive,Female,Compact,Retinol,TRUE,Italy
Ultra Makeup Remover,Bourjois,Blush,Occasional,15.62,3.4,2140,250ml,Sensitive,Unisex,Jar,Vitamin C,TRUE,France
Super Face Mask,Laura Mercier,Lip Gloss,Occasional,122.15,3.6,4326,150ml,Dry,Female,Compact,Aloe Vera,FALSE,France
Magic Eyeliner,Tatcha,BB Cream,Weekly,10.25,3,5924,200ml,Sensitive,Male,Stick,Salicylic Acid,TRUE,South Korea
Ultra Setting Spray,RMS Beauty,Serum,Monthly,136.33,1.2,127,50ml,Combination,Male,Tube,Salicylic Acid,FALSE,UK
Perfect Setting Spray,Natasha Denona,Highlighter,Weekly,16.27,2.1,2094,50ml,Normal,Male,Jar,Glycerin,TRUE,Australia
Magic Bronzer,NARS,Face Oil,Occasional,22.97,4.4,2675,30ml,Normal,Unisex,Stick,Aloe Vera,TRUE,France
Divine CC Cream,ColourPop,Makeup Remover,Daily,106.81,2.4,8727,150ml,Sensitive,Unisex,Bottle,Vitamin C,TRUE,Italy
Ultra Eyeliner,Pat McGrath Labs,Concealer,Weekly,88.68,3.7,3839,50ml,Dry,Unisex,Stick,Aloe Vera,TRUE,UK
Ultra Face Mask,Natasha Denona,Eyeliner,Daily,60.42,2.7,1230,50ml,Oily,Female,Spray,Retinol,TRUE,South Korea
Magic CC Cream,Juvia’s Place,Bronzer,Daily,50.64,4.2,4343,250ml,Dry,Female,Spray,Hyaluronic Acid,FALSE,Australia
Magic Lip Gloss,Pat McGrath Labs,Setting Spray,Occasional,71.83,2.5,9178,150ml,Dry,Male,Tube,Hyaluronic Acid,TRUE,South Korea
Divine BB Cream,Pat McGrath Labs,Makeup Remover,Occasional,83.4,2.2,4991,250ml,Normal,Unisex,Jar,Retinol,TRUE,Japan
Ultra CC Cream,Shiseido,Powder,Monthly,68.14,1.9,6056,250ml,Dry,Female,Stick,Vitamin C,TRUE,Germany
Divine Exfoliator,Danessa Myricks,Moisturizer,Daily,113.92,4.7,9426,250ml,Combination,Unisex,Bottle,Salicylic Acid,FALSE,Italy
Magic Makeup Remover,Sisley,Primer,Occasional,43.92,4.7,1052,200ml,Oily,Unisex,Tube,Aloe Vera,TRUE,Italy
Divine CC Cream,Yves Saint Laurent,Lip Gloss,Weekly,48.24,1.2,5927,100ml,Normal,Male,Tube,Retinol,TRUE,Germany
Magic Lip Liner,E.l.f.,Face Oil,Occasional,144.71,1.3,5787,200ml,Normal,Female,Bottle,Shea Butter,TRUE,Italy
Perfect Eye Shadow,Clinique,Concealer,Monthly,118.27,2.6,8346,50ml,Dry,Male,Jar,Hyaluronic Acid,FALSE,UK
Perfect Moisturizer,Tatcha,Makeup Remover,Monthly,17.66,2.4,7259,50ml,Sensitive,Male,Bottle,Hyaluronic Acid,FALSE,Japan
Super Eye Shadow,Hourglass,Powder,Weekly,131.77,2.4,1554,200ml,Dry,Female,Compact,Shea Butter,TRUE,Australia
Super Contour,Tarte,Makeup Remover,Daily,39.89,3.9,2437,250ml,Normal,Male,Bottle,Hyaluronic Acid,TRUE,USA
Divine Contour,Perricone MD,Setting Spray,Weekly,130.81,2.9,8306,200ml,Sensitive,Male,Tube,Salicylic Acid,FALSE,Japan
Super Contour,ColourPop,Face Mask,Daily,138,3.3,5215,100ml,Dry,Male,Tube,Retinol,FALSE,UK
Super Primer,Morphe,Moisturizer,Weekly,112.26,1.7,6929,200ml,Oily,Unisex,Stick,Shea Butter,TRUE,Germany
Magic Eye Shadow,Make Up For Ever,Bronzer,Daily,133.08,2.5,2370,30ml,Sensitive,Unisex,Stick,Hyaluronic Acid,TRUE,Italy
Perfect Contour,Anastasia Beverly Hills,Mascara,Weekly,36.18,4.4,3157,200ml,Normal,Female,Spray,Vitamin C,TRUE,Italy
Super Eyeliner,Milk Makeup,Serum,Occasional,122.09,4,8488,100ml,Combination,Unisex,Tube,Shea Butter,TRUE,USA
Magic Mascara,Natasha Denona,Mascara,Weekly,50.63,4.3,6993,200ml,Combination,Female,Spray,Shea Butter,FALSE,France
Ultra Mascara,Anastasia Beverly Hills,Mascara,Daily,103.9,1.1,9813,250ml,Normal,Female,Compact,Shea Butter,FALSE,Italy
Ultra Face Mask,E.l.f.,Mascara,Daily,74.26,1.7,5197,100ml,Oily,Male,Jar,Hyaluronic Acid,FALSE,South Korea
Magic Primer,Drunk Elephant,Bronzer,Weekly,143.08,1.4,9561,250ml,Normal,Unisex,Tube,Hyaluronic Acid,FALSE,Japan
Magic Face Oil,Perricone MD,Powder,Weekly,88.46,1.5,410,100ml,Oily,Unisex,Stick,Retinol,FALSE,South Korea
Divine Cleanser,ColourPop,CC Cream,Weekly,23.82,3.3,9582,250ml,Combination,Unisex,Stick,Hyaluronic Acid,TRUE,UK
Divine Makeup Remover,KVD Beauty,Highlighter,Daily,71.39,2.7,8883,30ml,Oily,Female,Bottle,Salicylic Acid,TRUE,South Korea
Perfect Primer,Shiseido,BB Cream,Occasional,45.73,1.5,9208,150ml,Normal,Male,Bottle,Vitamin C,TRUE,France
Perfect Serum,NARS,Lipstick,Weekly,17.89,3,1052,50ml,Oily,Unisex,Bottle,Shea Butter,TRUE,Italy
Divine Serum,Drunk Elephant,Powder,Weekly,17.02,1.6,842,150ml,Sensitive,Female,Jar,Glycerin,TRUE,Japan
Divine Lipstick,Charlotte Tilbury,Face Mask,Monthly,31.92,2,6436,250ml,Normal,Male,Bottle,Glycerin,TRUE,Australia
Divine Powder,Laura Mercier,Lipstick,Monthly,42.81,3,5478,100ml,Sensitive,Male,Compact,Salicylic Acid,FALSE,Japan
Ultra Exfoliator,Bite Beauty,Lip Liner,Occasional,85.45,2.5,4787,100ml,Sensitive,Male,Stick,Retinol,TRUE,Germany
Super Lipstick,E.l.f.,Concealer,Weekly,82.2,4.2,4781,30ml,Oily,Male,Bottle,Vitamin C,FALSE,Japan
Perfect Lipstick,Juvia’s Place,Lip Gloss,Weekly,143.88,4.7,2795,200ml,Dry,Female,Stick,Vitamin C,TRUE,France
Divine Face Oil,Morphe,Contour,Weekly,141.73,3.3,4622,150ml,Sensitive,Unisex,Tube,Salicylic Acid,TRUE,Japan
Ultra CC Cream,Sisley,Face Mask,Weekly,32.77,4.1,809,200ml,Sensitive,Unisex,Bottle,Hyaluronic Acid,TRUE,Germany
Perfect CC Cream,Shiseido,Primer,Daily,76.7,4.3,2859,200ml,Oily,Male,Bottle,Retinol,TRUE,Germany
Divine Face Mask,Kiehl’s,Primer,Daily,111.59,2.1,222,150ml,Combination,Male,Spray,Aloe Vera,TRUE,Australia
Divine Makeup Remover,Milk Makeup,Powder,Daily,112.34,3.8,6914,200ml,Combination,Female,Jar,Salicylic Acid,FALSE,Germany
Magic Primer,Becca,Moisturizer,Daily,119.99,1.5,1720,250ml,Normal,Male,Bottle,Glycerin,FALSE,Japan
Ultra Face Mask,RMS Beauty,Face Oil,Occasional,78.44,3.4,5710,50ml,Dry,Female,Spray,Retinol,FALSE,UK
Ultra Face Mask,Farsali,Makeup Remover,Monthly,31.65,1.4,1534,200ml,Combination,Female,Tube,Glycerin,FALSE,Italy
Magic Powder,Huda Beauty,Contour,Monthly,43.8,4,3848,150ml,Normal,Unisex,Stick,Shea Butter,TRUE,USA
Ultra Makeup Remover,Natasha Denona,Lip Gloss,Monthly,33.61,4.4,618,50ml,Normal,Female,Spray,Hyaluronic Acid,FALSE,Japan
Divine Setting Spray,Make Up For Ever,Face Mask,Daily,120.06,4.4,3095,100ml,Oily,Unisex,Jar,Glycerin,TRUE,Germany
Magic Highlighter,Bobby Brown,Contour,Weekly,45.14,3.9,8313,200ml,Dry,Male,Jar,Salicylic Acid,TRUE,USA
Magic Face Oil,E.l.f.,Face Oil,Daily,117.39,1.5,6128,250ml,Combination,Unisex,Tube,Retinol,FALSE,Japan
Divine Highlighter,Becca,Mascara,Daily,116.17,3.7,5858,100ml,Oily,Female,Spray,Salicylic Acid,TRUE,USA
Ultra Moisturizer,Milk Makeup,Concealer,Daily,104.07,1.9,1657,30ml,Dry,Unisex,Jar,Glycerin,TRUE,UK
Perfect Mascara,Glossier,Bronzer,Monthly,76.99,3.2,2488,100ml,Normal,Female,Compact,Aloe Vera,FALSE,USA
Perfect Setting Spray,Glossier,Bronzer,Weekly,144.32,4.5,6809,150ml,Sensitive,Female,Compact,Salicylic Acid,TRUE,Italy
Magic Serum,Make Up For Ever,Primer,Weekly,29.33,4.1,2934,100ml,Combination,Female,Stick,Salicylic Acid,FALSE,France
Super Setting Spray,Morphe,Serum,Occasional,64.96,4.3,1290,250ml,Normal,Male,Bottle,Vitamin C,TRUE,South Korea
Perfect Mascara,Clinique,Setting Spray,Occasional,54.07,2.2,2017,150ml,Combination,Female,Spray,Glycerin,TRUE,Japan
Super BB Cream,Ilia Beauty,Foundation,Occasional,47.1,3.1,8873,150ml,Combination,Unisex,Bottle,Vitamin C,TRUE,Germany
Divine Mascara,Anastasia Beverly Hills,Primer,Monthly,64.38,3.2,3612,250ml,Dry,Unisex,Jar,Glycerin,FALSE,Japan
Ultra Moisturizer,Pat McGrath Labs,BB Cream,Weekly,39.24,2.9,1184,100ml,Combination,Female,Compact,Retinol,FALSE,Japan
Ultra Bronzer,Drunk Elephant,Cleanser,Occasional,28.12,3.1,6787,50ml,Sensitive,Male,Tube,Glycerin,TRUE,USA
Ultra Moisturizer,Too Faced,Setting Spray,Daily,116.87,4,145,100ml,Oily,Male,Jar,Shea Butter,FALSE,France
Divine Setting Spray,Farsali,Bronzer,Monthly,16.56,4.2,419,250ml,Sensitive,Male,Spray,Hyaluronic Acid,FALSE,UK
Divine Eyeliner,ColourPop,Serum,Weekly,45.13,4.7,3712,200ml,Normal,Male,Spray,Hyaluronic Acid,TRUE,Australia
Perfect Eyeliner,Charlotte Tilbury,Lipstick,Monthly,41.19,1.5,1405,50ml,Normal,Female,Bottle,Glycerin,TRUE,Germany
Magic Blush,Charlotte Tilbury,Bronzer,Weekly,143.83,3.1,8748,150ml,Sensitive,Unisex,Jar,Hyaluronic Acid,TRUE,Japan
Super Moisturizer,Juvia’s Place,Primer,Monthly,143.94,1.4,1324,200ml,Oily,Male,Jar,Shea Butter,TRUE,Italy
Divine Eyeliner,Urban Decay,Highlighter,Daily,43.42,1.6,356,250ml,Sensitive,Male,Tube,Hyaluronic Acid,TRUE,USA
Super Eyeliner,Make Up For Ever,Highlighter,Occasional,55.35,4.1,6890,250ml,Normal,Female,Stick,Salicylic Acid,FALSE,South Korea
Super Serum,Bite Beauty,Blush,Weekly,56.62,1.9,8705,200ml,Oily,Male,Jar,Hyaluronic Acid,TRUE,UK
Ultra Makeup Remover,Bobby Brown,Mascara,Occasional,21.03,3,4521,200ml,Oily,Unisex,Tube,Hyaluronic Acid,FALSE,Italy
Divine Contour,ColourPop,Face Mask,Weekly,135.18,1.6,7393,150ml,Oily,Unisex,Jar,Retinol,TRUE,UK
Ultra Serum,Anastasia Beverly Hills,Powder,Daily,139.37,3.1,5306,50ml,Sensitive,Male,Spray,Glycerin,TRUE,Japan
Perfect Foundation,Bite Beauty,Face Oil,Monthly,48.14,2.4,5430,50ml,Oily,Female,Tube,Vitamin C,FALSE,Australia
Magic Primer,Tarte,Blush,Occasional,137.33,3,2783,100ml,Sensitive,Unisex,Bottle,Retinol,FALSE,France
Perfect Foundation,Tarte,Primer,Daily,30.81,2.6,411,200ml,Dry,Female,Bottle,Glycerin,FALSE,France
Ultra Cleanser,Make Up For Ever,Contour,Occasional,94.89,4,4351,250ml,Oily,Male,Stick,Salicylic Acid,TRUE,Japan
Super Exfoliator,Milk Makeup,Bronzer,Monthly,58.22,2.2,2072,100ml,Oily,Male,Jar,Shea Butter,FALSE,Australia
Perfect Eyeliner,Patrick Ta,Cleanser,Occasional,137.33,2.4,8954,50ml,Normal,Male,Stick,Hyaluronic Acid,FALSE,USA
Super Foundation,Tatcha,Exfoliator,Weekly,59.44,4.5,3534,50ml,Normal,Unisex,Bottle,Aloe Vera,FALSE,Australia
Super Foundation,Bobby Brown,Bronzer,Weekly,38.07,2.6,8226,30ml,Sensitive,Unisex,Bottle,Shea Butter,FALSE,Japan
Super Bronzer,Urban Decay,Highlighter,Weekly,49.69,3.8,1267,50ml,Dry,Unisex,Tube,Vitamin C,FALSE,France
Magic Lip Liner,Danessa Myricks,Highlighter,Occasional,50.62,2.2,992,200ml,Dry,Male,Bottle,Salicylic Acid,TRUE,UK
Divine Moisturizer,Patrick Ta,CC Cream,Occasional,114.8,4.6,6553,50ml,Combination,Male,Spray,Shea Butter,TRUE,France
Ultra Face Oil,Patrick Ta,Cleanser,Monthly,61.5,2.2,2251,50ml,Sensitive,Female,Bottle,Shea Butter,TRUE,USA
Ultra Serum,E.l.f.,Eyeliner,Daily,73.21,1.6,363,250ml,Oily,Female,Bottle,Hyaluronic Acid,TRUE,France
Magic Blush,Clinique,Setting Spray,Monthly,134.79,4.1,5339,30ml,Combination,Unisex,Stick,Hyaluronic Acid,FALSE,UK
Super Foundation,Pat McGrath Labs,Lip Gloss,Daily,71.8,2.6,2476,100ml,Oily,Male,Jar,Vitamin C,TRUE,Japan
Divine Blush,Rare Beauty,Eye Shadow,Weekly,72.71,2.1,8029,250ml,Normal,Unisex,Stick,Hyaluronic Acid,FALSE,UK
Magic BB Cream,Bourjois,Powder,Occasional,12.45,4.6,72,100ml,Normal,Male,Stick,Aloe Vera,TRUE,Australia
Perfect Setting Spray,Glossier,Serum,Weekly,120.12,4,2352,100ml,Sensitive,Female,Jar,Salicylic Acid,FALSE,UK
Divine Primer,Urban Decay,Powder,Monthly,95.49,4.3,241,250ml,Dry,Male,Bottle,Glycerin,TRUE,USA
Divine Blush,Huda Beauty,Lipstick,Monthly,132.8,3.8,556,50ml,Oily,Male,Spray,Glycerin,TRUE,Germany
Divine Serum,Huda Beauty,CC Cream,Weekly,34.19,2.1,2355,200ml,Normal,Male,Stick,Shea Butter,TRUE,France
