id,Name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR
467,Jeremiah Arkham (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,65,"1992, June",1992
468,Amon Hakk (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,65,"1991, August",1991
469,Mister Mxyzptlk (New Earth),Secret Identity,Neutral Characters,Black Eyes,White Hair,Living Characters,64,"1987, November",1987
470,Janos Prohaska (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,64,"1988, March",1988
471,Jor-El (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,64,"1986, October",1986
472,Edward Fyers (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,64,"1987, October",1987
473,William Hand (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,64,"1964, June",1964
474,Kent V. Nelson (New Earth),Secret Identity,Good Characters,Brown Eyes,Blond Hair,Living Characters,64,"2007, November",2007
475,Yolanda Montez (New Earth),Secret Identity,Good Characters,Brown Eyes,Reddish Brown Hair,Deceased Characters,64,"1985, March",1985
476,Molly Mayne (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,64,"1947, September",1947
477,Scribbly Jibbet (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,64,"1939, April",1939
478,William Randolph Wintergreen (New Earth),Public Identity,Neutral Characters,Unknown or None,White Hair,Deceased Characters,64,"1980, December",1980
479,Charis-Nar (New Earth),Secret Identity,Good Characters,Black Eyes,Unknown or None,Living Characters,63,"1981, June",1981
480,Tex (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,63,"1947, June",1947
481,Pooch (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Deceased Characters,63,"1959, September",1959
482,Clifford DeVoe (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Deceased Characters,63,"1943, September",1943
483,Amy Winston (New Earth),Secret Identity,Good Characters,Violet Eyes,Blond Hair,Living Characters,63,"1983, April",1983
484,Klarion Bleak (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,62,"1973, March",1973
485,Mark Merlin (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,62,"1959, August",1959
486,Garfield Lynns (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,62,"1952, June",1952
487,Morgaine le Fey (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,61,"1972, September",1972
488,Nanaue (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,61,"1994, October",1994
489,David Reid (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Deceased Characters,61,"2008, March",2008
490,"Henry Heywood, Sr. (New Earth)",Secret Identity,Unknown or None,Blue Eyes,Black Hair,Deceased Characters,61,"1978, March",1978
491,Francine Lee (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,61,"1970, August",1970
492,Emil LaSalle (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Deceased Characters,61,"1981, December",1981
493,Clifford Carmichael (New Earth),Secret Identity,Bad Characters,Brown Eyes,Brown Hair,Deceased Characters,61,"1978, March",1978
494,Per Degaton (New Earth),Secret Identity,Bad Characters,Red Eyes,Red Hair,Living Characters,61,"1947, June",1947
495,Roxanne Leech (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,60,"1993, July",1993
496,Bette Sans Souci (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,60,"1982, December",1982
497,Paco Ramone (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,60,"1984, October",1984
498,Martha Roberts (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,60,"1939, December",1939
499,Chaselon (New Earth),Public Identity,Unknown or None,White Eyes,Black Hair,Deceased Characters,60,"1961, December",1961
500,Richard Starr (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,59,"1958, August",1958
501,Langford Terrill (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,59,"1940, September",1940
502,Pren (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,59,"1981, June",1981
503,Arthur Brown (New Earth),Unknown,Bad Characters,Blue Eyes,Blond Hair,Living Characters,59,"1966, May",1966
504,Angela Hawkins III (New Earth),Secret Identity,Bad Characters,Green Eyes,Black Hair,Living Characters,59,"1981, December",1981
505,Paula Brooks (New Earth),Secret Identity,Unknown or None,Green Eyes,Black Hair,Living Characters,59,"1947, August",1947
506,Simon Jones (New Earth),Public Identity,Bad Characters,White Eyes,Unknown or None,Deceased Characters,59,"1981, January",1981
507,Ferrin Colos (New Earth),Public Identity,Good Characters,White Eyes,Unknown or None,Deceased Characters,59,"1992, October",1992
508,Jonathan Gabrielli I (New Earth),Public Identity,Good Characters,Black Eyes,Black Hair,Deceased Characters,58,"1942, April",1942
509,Death (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,58,"1989, August",1989
510,Tula (New Earth),Public Identity,Unknown or None,Blue Eyes,Brown Hair,Deceased Characters,58,"1967, June",1967
511,Roscoe Dillon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,58,"1961, August",1961
512,Cameron Mahkent (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Living Characters,58,"1987, January",1987
513,Ryan Kendall (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,58,"1992, June",1992
514,James Rook (New Earth),Secret Identity,Good Characters,Green Eyes,Brown Hair,Living Characters,58,"1969, May",1969
515,Irwin Schwab (New Earth),Secret Identity,Good Characters,Green Eyes,Unknown or None,Living Characters,58,"1982, December",1982
516,Trigon (New Earth),Public Identity,Bad Characters,Red Eyes,Red Hair,Living Characters,58,"1981, March",1981
517,Chemo (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,58,"1962, July",1962
518,Ronald Reagan (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Living Characters,58,"1950, June",1950
519,Anthony Rodriguez I (New Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Deceased Characters,57,"1942, April",1942
520,Hera (New Earth),Public Identity,Neutral Characters,Blue Eyes,Red Hair,Living Characters,57,"1941, December",1941
521,Paul Kirk II (New Earth),Secret Identity,Good Characters,Blue Eyes,Brown Hair,Deceased Characters,57,"1942, April",1942
522,Arak Red-Hand (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,57,"1981, August",1981
523,Anita Fite (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,57,"2000, January",2000
524,Thomas Thompkins I (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Deceased Characters,57,"1942, April",1942
525,Anthony Ivo (New Earth),Secret Identity,Bad Characters,Unknown or None,Black Hair,Living Characters,57,"1960, July",1960
526,Troy Stewart (Pre-Zero Hour),Public Identity,Good Characters,Black Eyes,Black Hair,Living Characters,56,"1976, April",1976
527,Patrick MacGuire I (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,56,"1942, April",1942
528,Jennifer Morgan (New Earth),Secret Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,56,"1980, October",1980
529,Graf Toren (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,56,"1993, August",1993
530,Baby Wildebeest (New Earth),Public Identity,Good Characters,White Eyes,Black Hair,Deceased Characters,56,"1992, April",1992
531,Anton Arcane (New Earth),Public Identity,Bad Characters,Black Eyes,White Hair,Deceased Characters,55,"1973, January",1973
532,Sebastian Faust (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,55,"1993, November",1993
533,Stanley Kitch (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,55,"1989, January",1989
534,Judy Walton (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,55,"1960, August",1960
535,Henry Heywood III (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Deceased Characters,55,"1984, October",1984
536,Johnny Peril (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,55,"1947, February",1947
537,Voz (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,55,"1993, August",1993
538,Stel (New Earth),Public Identity,Good Characters,Photocellular Eyes,Unknown or None,Living Characters,55,"1962, March",1962
539,Yera Allon (Pre-Zero Hour),Public Identity,Good Characters,Purple Eyes,Purple Hair,Living Characters,55,"1982, May",1982
540,Mongul I (New Earth),Public Identity,Bad Characters,Red Eyes,Unknown or None,Deceased Characters,55,"1980, November",1980
541,Nicholas Walton (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Living Characters,55,"1960, August",1960
542,Randu Singh (New Earth),Unknown,Good Characters,Unknown or None,Black Hair,Living Characters,55,"1972, September",1972
543,Atrocitus (New Earth),Secret Identity,Neutral Characters,Yellow Eyes,Unknown or None,Living Characters,55,"2008, January",2008
544,Shift (New Earth),Public Identity,Good Characters,Black Eyes,Unknown or None,Living Characters,54,"2003, August",2003
545,Merlyn (New Earth),Secret Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,54,"1971, November",1971
546,Jared Stevens (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,54,"1994, October",1994
547,"Arthur Curry, Jr. (New Earth)",Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Deceased Characters,54,"1965, October",1965
548,Michael Akins (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,54,"2001, January",2001
549,Natt Walls (New Earth),Public Identity,Neutral Characters,Brown Eyes,Black Hair,Deceased Characters,54,"1996, August",1996
550,Carol Bucklen (New Earth),Unknown,Good Characters,Brown Eyes,Black Hair,Living Characters,54,"1995, April",1995
551,Big Bear (New Earth),Public Identity,Good Characters,Green Eyes,Red Hair,Deceased Characters,54,"1971, March",1971
552,Satanus (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,54,"1992, August",1992
553,Danny the Street (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,54,"1990, August",1990
554,Alice Spencer (New Earth),Public Identity,Good Characters,Unknown or None,White Hair,Living Characters,54,"1987, May",1987
555,Danton Black (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,53,"1978, March",1978
556,Knockout (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,53,"1994, February",1994
557,Jennifer Pierce (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,53,"2008, March",2008
558,Clifford Baker (New Earth),Public Identity,Unknown or None,Green Eyes,Red Hair,Deceased Characters,53,"1988, September",1988
559,Daniel Chase (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Deceased Characters,53,1987,1987
560,Kanjar Ro (New Earth),Public Identity,Bad Characters,Yellow Eyes,Unknown or None,Living Characters,53,"1961, March",1961
561,James Craddock (New Earth),Public Identity,Bad Characters,Blue Eyes,Brown Hair,Deceased Characters,52,"1947, October",1947
562,Beautiful Dreamer (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,52,"1971, March",1971
563,Lori Zechlin (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,52,"2005, January",2005
564,Cody Driscoll (New Earth),Secret Identity,Good Characters,Green Eyes,Blond Hair,Living Characters,52,"1996, October",1996
565,Helena Kosmatos (New Earth),Secret Identity,Good Characters,Red Eyes,Blond Hair,Living Characters,52,"1987, March",1987
566,Franklin Delano Roosevelt (New Earth),Public Identity,Good Characters,Unknown or None,Grey Hair,Living Characters,52,"1936, March",1936
567,Biff Bailey (New Earth),Public Identity,Good Characters,Unknown or None,Red Hair,Living Characters,52,"1960, August",1960
568,Kalista (New Earth),Public Identity,Good Characters,White Eyes,Purple Hair,Deceased Characters,52,"1981, June",1981
569,Arkillo (New Earth),Public Identity,Bad Characters,Black Eyes,Unknown or None,Living Characters,51,"2006, May",2006
570,Phillip Mason (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,51,"1959, August",1959
571,"Artemis, Goddess of the Hunt (New Earth)",Public Identity,Neutral Characters,Blue Eyes,Red Hair,Living Characters,51,"1987, February",1987
572,Joar Mahkent (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Deceased Characters,51,"1947, October",1947
573,Mark Moonrider (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,51,"1971, March",1971
574,Serifan (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,51,"1971, March",1971
575,Machiste (New Earth),Public Identity,Good Characters,Brown Eyes,Unknown or None,Living Characters,51,"1976, April",1976
576,Copperhead (New Earth),Secret Identity,Bad Characters,Brown Eyes,Unknown or None,Deceased Characters,51,"1968, July",1968
577,Katherine Kane (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,51,"2006, June",2006
578,Rex Leech (New Earth),Public Identity,Neutral Characters,Hazel Eyes,Brown Hair,Living Characters,51,"1993, February",1993
579,Andrew Bennett (New Earth),Secret Identity,Good Characters,Red Eyes,Black Hair,Living Characters,51,"1981, March",1981
580,Jayne Payton (New Earth),Public Identity,Neutral Characters,Unknown or None,Red Hair,Living Characters,51,"1988, October",1988
581,Mad Harriet (New Earth),Secret Identity,Bad Characters,Black Eyes,Green Hair,Deceased Characters,50,"1972, February",1972
582,"Henry King, Sr. (New Earth)",Public Identity,Bad Characters,Blue Eyes,Unknown or None,Deceased Characters,50,"1943, February",1943
583,Chester Williams (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,50,"1985, December",1985
584,Angela Roth (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,50,"1981, January",1981
585,Christopher King (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,50,"1981, February",1981
586,Donald Hall (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,50,"1968, June",1968
587,Lonnie Machin (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,50,"1989, November",1989
588,Koryak (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,50,"1995, January",1995
589,Vykin the Black (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,50,"1971, March",1971
590,Lyrl Dox (New Earth),Public Identity,Bad Characters,Green Eyes,Blond Hair,Living Characters,50,"1991, June",1991
591,Sodam Yat (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Living Characters,50,1986,1986
592,Scar (New Earth),Secret Identity,Bad Characters,Black Eyes,Unknown or None,Deceased Characters,49,"2008, January",2008
593,Bernadeth (New Earth),Secret Identity,Bad Characters,Brown Eyes,Black Hair,Living Characters,49,"1972, February",1972
594,Mortimer Jibbet (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,49,"1939, April",1939
595,Lor-Zod (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,49,"2006, December",2006
596,Mary Loyd (New Earth),Public Identity,Unknown or None,Green Eyes,Black Hair,Deceased Characters,49,"1989, August",1989
597,Jay Abrams (New Earth),Secret Identity,Good Characters,Grey Eyes,Black Hair,Living Characters,49,"1971, February",1971
598,Blaze (New Earth),Secret Identity,Bad Characters,Red Eyes,Black Hair,Living Characters,49,"1990, July",1990
599,Jeffrey Graves (New Earth),Secret Identity,Unknown or None,Unknown or None,Brown Hair,Living Characters,49,"2007, February",2007
600,Otto von Furth (New Earth),Secret Identity,Bad Characters,Yellow Eyes,Unknown or None,Deceased Characters,49,"1981, December",1981
601,Aristotle Rodor (New Earth),Public Identity,Unknown or None,Blue Eyes,White Hair,Living Characters,48,"1987, February",1987
602,Mona Bennett (New Earth),Unknown,Good Characters,Blue Eyes,Blond Hair,Living Characters,48,"1963, July",1963
603,Traci Thirteen (New Earth),Public Identity,Unknown or None,Brown Eyes,Black Hair,Living Characters,48,"2003, February",2003
604,Yrra Cynril (New Earth),Secret Identity,Neutral Characters,Brown Eyes,Black Hair,Living Characters,48,"1997, February",1997
605,Harold Jordan (New Earth),Secret Identity,Unknown or None,Brown Eyes,Brown Hair,Deceased Characters,48,"1978, January",1978
606,Hugo Strange (New Earth),Public Identity,Bad Characters,Grey Eyes,Unknown or None,Living Characters,48,"1940, February",1940
607,Iolande (New Earth),Public Identity,Good Characters,Purple Eyes,Black Hair,Living Characters,48,"2006, August",2006
608,Jonathan Gabrielli II (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Living Characters,48,"1970, October",1970
609,Linda Strauss (New Earth),Secret Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,48,"1987, July",1987
610,Neptune Perkins (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,47,"1945, August",1945
611,Joseph Jones (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,47,"1991, January",1991
612,Matthew Ryder (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,47,"1991, September",1991
613,Irene Miller (New Earth),Public Identity,Good Characters,Grey Eyes,Black Hair,Living Characters,47,"1940, September",1940
614,Keith Kenyon (New Earth),Public Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,47,"1965, July",1965
615,Amelia Hunkel (New Earth),Secret Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,47,"1939, June",1939
616,Alec Holland (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,46,"1972, November",1972
617,Helen Claiborne (New Earth),Public Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,46,"1995, June",1995
618,Bito Wladon (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Living Characters,46,"1962, July",1962
619,Mary Elizabeth Kane (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,46,1989,1989
620,Miya Shimada (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,46,"1984, May",1984
621,Crystal Brown (New Earth),Public Identity,Good Characters,Green Eyes,Brown Hair,Living Characters,46,"1992, August",1992
622,Joseph Chilton (New Earth),Public Identity,Bad Characters,Hazel Eyes,Blond Hair,Deceased Characters,46,"1987, February",1987
623,Duncan Pramble (New Earth),Secret Identity,Bad Characters,Hazel Eyes,Unknown or None,Living Characters,46,"1960, July",1960
624,Stompa (New Earth),Public Identity,Bad Characters,Unknown or None,Strawberry Blond Hair,Living Characters,46,"1972, February",1972
625,Mark Scheffer (New Earth),Secret Identity,Bad Characters,Unknown or None,Unknown or None,Living Characters,46,"1988, April",1988
626,Hooty the Owl (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,46,"1941, April",1941
627,Poseidon (New Earth),Public Identity,Neutral Characters,White Eyes,White Hair,Living Characters,46,"1940, September",1940
628,Siobhan McDougal (New Earth),Secret Identity,Bad Characters,White Eyes,White Hair,Living Characters,46,"1987, December",1987
629,Wendy Jones (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,45,"1984, April",1984
630,Calvin Carson (New Earth),Public Identity,Good Characters,Blue Eyes,Brown Hair,Living Characters,45,"1960, August",1960
631,Richard Drakunovski (New Earth),Public Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,45,"1975, May",1975
632,Mist I (New Earth),Secret Identity,Bad Characters,Blue Eyes,White Hair,Deceased Characters,45,"1941, October",1941
633,Arani Desai (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,45,"1977, September",1977
634,Rodney Gaynor (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,45,"1940, January",1940
635,Ryan Choi (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,45,"2006, August",2006
636,Gregory Sanders (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,45,"1941, November",1941
637,Ion (New Earth),Secret Identity,Good Characters,Green Eyes,Unknown or None,Deceased Characters,45,"2006, April",2006
638,Duela Dent (Earth-3),Secret Identity,Neutral Characters,Purple Eyes,Red Hair,Deceased Characters,45,"1976, August",1976
639,Hunter Zolomon (New Earth),Secret Identity,Bad Characters,Red Eyes,Brown Hair,Living Characters,45,"2001, November",2001
640,Doc (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,45,"1983, June",1983
641,Karshon (New Earth),Unknown,Bad Characters,Black Eyes,Unknown or None,Living Characters,44,"1963, October",1963
642,Morgan Edge (New Earth),Public Identity,Bad Characters,Blue Eyes,Unknown or None,Living Characters,44,"1988, January",1988
643,Lara Lor-Van (New Earth),Public Identity,Unknown or None,Blue Eyes,Black Hair,Deceased Characters,44,"1986, October",1986
644,Selinda Flinders (New Earth),Secret Identity,Bad Characters,Blue Eyes,Red Hair,Living Characters,44,"1981, January",1981
645,Gavyn (New Earth),Secret Identity,Good Characters,Blue Eyes,Blond Hair,Living Characters,44,"1980, January",1980
646,Lisa Snart (New Earth),Unknown,Unknown or None,Blue Eyes,Blond Hair,Deceased Characters,44,"1977, June",1977
647,Sean Noonan (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,44,1993,1993
648,"William Everett, Sr. (New Earth)",Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,44,"1983, July",1983
649,Jon Valor (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Deceased Characters,44,"1940, April",1940
650,Rhosyn Forrest (New Earth),Secret Identity,Good Characters,Green Eyes,Unknown or None,Living Characters,44,"1986, March",1986
651,John Grayson (New Earth),Public Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,44,"1989, August",1989
652,Elaine Marsh-Morton (New Earth),Secret Identity,Bad Characters,Unknown or None,Blond Hair,Living Characters,44,"1997, January",1997
653,Victoria Grant (New Earth),Unknown,Good Characters,Unknown or None,Blond Hair,Living Characters,44,"1981, February",1981
654,Larfleeze (New Earth),Public Identity,Neutral Characters,Yellow Eyes,Orange Hair,Living Characters,44,"2008, June",2008
655,Dru-Zod II (New Earth),Public Identity,Bad Characters,Black Eyes,Black Hair,Living Characters,43,"1961, April",1961
656,Sandra Knight (New Earth),Secret Identity,Good Characters,Black Eyes,Black Hair,Living Characters,43,"1987, June",1987
657,Alura In-Ze (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,43,"2004, June",2004
658,Axel Walker (New Earth),Secret Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,43,"2002, April",2002
659,Louis Kiyahani (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,43,"1963, February",1963
660,Emmaline Brady (New Earth),Public Identity,Unknown or None,Brown Eyes,Brown Hair,Living Characters,43,"1962, December",1962
661,Elizabeth Chapel (New Earth),Secret Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,43,"1985, October",1985
662,Zachary Zatara (New Earth),Public Identity,Good Characters,Green Eyes,Black Hair,Living Characters,43,"2006, May",2006
663,Iris West II (New Earth),Secret Identity,Good Characters,Green Eyes,Red Hair,Living Characters,43,"1999, March",1999
664,Beverly Lewis (New Earth),Unknown,Unknown or None,Green Eyes,Red Hair,Living Characters,43,"1980, May",1980
665,Teekl (New Earth),Public Identity,Neutral Characters,Red Eyes,Orange Hair,Living Characters,43,"1973, March",1973
666,Xiang Po (New Earth),Secret Identity,Good Characters,Red Eyes,Unknown or None,Deceased Characters,43,"1988, January",1988
667,Harry Matthews (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,43,"1972, September",1972
668,Borb Borbb (New Earth),Public Identity,Good Characters,Unknown or None,Unknown or None,Living Characters,43,"1991, August",1991
669,Jock Kellogg (New Earth),Secret Identity,Good Characters,Unknown or None,Black Hair,Deceased Characters,43,"1940, July",1940
670,Edward Indelicato (New Earth),Unknown,Good Characters,Unknown or None,Brown Hair,Living Characters,43,"1988, April",1988
671,Zilius Zox (New Earth),Public Identity,Bad Characters,Yellow Eyes,Unknown or None,Deceased Characters,43,"2008, December",2008
672,Paco Testas (New Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,42,"2006, February",2006
673,Janu (New Earth),Public Identity,Good Characters,Black Eyes,Brown Hair,Living Characters,42,"1954, April",1954
674,Rama Kushna (New Earth),Public Identity,Neutral Characters,Black Eyes,Black Hair,Living Characters,42,"1967, October",1967
675,Glorious Godfrey (New Earth),Secret Identity,Bad Characters,Black Eyes,Red Hair,Living Characters,42,"1971, July",1971
676,"Roy Raymond, Jr. (New Earth)",Secret Identity,Good Characters,Black Eyes,Blond Hair,Living Characters,42,"1997, February",1997
677,William Walker (New Earth),Secret Identity,Neutral Characters,Black Eyes,Black Hair,Deceased Characters,42,"1971, July",1971
678,Traya Sutton (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,42,"1978, March",1978
679,Myra Mason (New Earth),Public Identity,Good Characters,Blue Eyes,Blond Hair,Deceased Characters,42,"1941, April",1941
680,Laura De Mille (New Earth),Secret Identity,Bad Characters,Blue Eyes,Black Hair,Deceased Characters,42,"1964, March",1964
681,Helga Jace (New Earth),Secret Identity,Bad Characters,Blue Eyes,Grey Hair,Deceased Characters,42,"1983, August",1983
682,Rac Shade (New Earth),Secret Identity,Good Characters,Blue Eyes,Red Hair,Living Characters,42,"1977, July",1977
683,June Robbins (New Earth),Secret Identity,Good Characters,Blue Eyes,Strawberry Blond Hair,Living Characters,42,"1957, April",1957
684,Appa Ali Apsa (New Earth),Secret Identity,Unknown or None,Blue Eyes,White Hair,Deceased Characters,42,"1970, April",1970
685,William Henderson (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,42,"1987, January",1987
686,Mitchell Shelley (New Earth),Public Identity,Good Characters,Brown Eyes,White Hair,Living Characters,42,"1997, May",1997
687,Audrey Spears (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,42,"1996, October",1996
688,Edward Raymond (New Earth),Secret Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,42,"1978, April",1978
689,Harold Allnut (New Earth),Public Identity,Good Characters,Unknown or None,Blond Hair,Deceased Characters,42,"1989, December",1989
690,Nathaniel Kane (New Earth),Public Identity,Good Characters,Unknown or None,Brown Hair,Living Characters,42,"1992, December",1992
691,Source (New Earth),Secret Identity,Neutral Characters,Unknown or None,Unknown or None,Living Characters,42,"1971, March",1971
692,Ariana Dzerchenko (New Earth),Public Identity,Good Characters,Blue Eyes,Black Hair,Living Characters,41,"1992, December",1992
693,Phoebus Apollo (New Earth),Public Identity,Neutral Characters,Blue Eyes,Blond Hair,Living Characters,41,"1941, December",1941
694,Veronica Cale (New Earth),Public Identity,Unknown or None,Blue Eyes,Blond Hair,Living Characters,41,"2003, November",2003
695,Lazarus Lane (New Earth),Secret Identity,Good Characters,Blue Eyes,Black Hair,Deceased Characters,41,"1970, November",1970
696,Abel (New Earth),Secret Identity,Neutral Characters,Blue Eyes,Black Hair,Living Characters,41,"1969, July",1969
697,Josephine MacDonald (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Living Characters,41,"2001, December",2001
698,Strong Bow (New Earth),Public Identity,Good Characters,Brown Eyes,Black Hair,Deceased Characters,41,"1951, May",1951
699,Arthur Pendragon (New Earth),Public Identity,Good Characters,Brown Eyes,Brown Hair,Living Characters,41,"1936, February",1936
